,followers_count,text,location,description,statuses_count,screen_name,following,favourites_count,friends_count,created_at,retweet_count,listed_count,user_id,verified,tweet_id
2735,131,"Taking bad thing as joke, comedian said Dengue with WiFi =  #ZikaVirus. Outbreak caused by release of GM mosquitoes? https://t.co/LnSIj8XzUW","Kingston, Jamaica W.I.","#SocialJustice activist, liberal pragmatist, mom, grant writer aiming 4 balance, single standard guiding living, empowered, privileged & radiating gratefulness.",1516,nicolewesth,88,315,88,Fri Dec 17 01:43:17 +0000 2010,0,9,227519373,False,694206572772331522
2736,105,"RT @frontlinepbs: .@WHO warns that the Zika virus is ""spreading explosively."" Where did it come from? 

MAP: https://t.co/UN4Rs7ophY https:…",California,#Medical #Interpreting is a skill that helps #bridge the #language and #cultural #gap. I make a difference in a #patient's #clinical #encounter!,609,smurphy2001,237,311,237,Wed Sep 29 22:06:23 +0000 2010,12,2,196778434,False,694206564933054464
2737,1173,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/xqnzcUdQqm,"Pearl River, New York",Pearl River Patch is your source for local news.,9525,PearlRiverPatch,316,1,316,Wed Jun 23 20:57:45 +0000 2010,0,24,158855363,False,694206562294890497
2738,22,"RT @VIralBuzzNewss: As Zika virus spreads, Tata will get prepared for the India start of its hatchback Zic... -  https://t.co/P1lfSlOROv",Boston,I really have got great goals. I launch businesses. Consistently have a positive mindset. Social marketing strategist,7842,THilderley,76,1497,76,Thu Jan 07 17:12:45 +0000 2016,774,1,4736414489,False,694206561942528000
2739,1596,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/O0OOGZHD7E,"New City, NY",New City Patch is your source for local news.,12248,NewCityPatch,51,7,51,Tue Apr 06 18:05:54 +0000 2010,0,54,130226736,False,694206559279149056
2740,2119,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/dEyCy0w5bu,"Chappaqua-Mount Kisco, NY",ChapKisco Patch is your source for local news.,12522,ChapKiscoPatch,642,2,642,Thu Dec 03 22:52:00 +0000 2009,0,65,94434053,False,694206546637643776
2741,1568,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/pK2y8jzqCj,New York,Port Chester Patch is your source for local news.,6375,PChesterPatch,307,0,307,Tue Apr 06 18:08:44 +0000 2010,0,43,130227549,False,694206545878339584
2742,1309,RT @ClimateReality: Climate change is helping the spread of diseases like the Zika virus https://t.co/f8oCo6B9Kn #ActOnClimate https://t.co…,Minnesota,"We knit together the work of many Minnesotans in a powerful and unified call to #ActOnClimate—a call that is global, scientific, and specific.
RT ≠ Endorsement",4174,MN_350,978,454,978,Wed Sep 29 20:53:13 +0000 2010,11,93,196753919,False,694206545559711745
2743,3280,RT @bermaninstitute: Via @NPR: Zika Virus Isn't The First Disease To Spark A Debate About Abortion https://t.co/ZRxoytnBqs #Bioethics,New York City,"ER MD, Lenox Hill Hospital/Forbes/CBS News/Medscape EM Editor/Former NY Jets Sideline MD/DR 911(https://t.co/DdtPoE6r84) Co-Author, #TheFootballDecision @Amazon",14257,DrRobertGlatter,3696,9076,3696,Thu Apr 26 12:35:39 +0000 2012,3,340,563691118,False,694206544527884290
2744,1020,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/2UtC6hlCcN,"Pelham , NY",Pelham Patch is your source for local news.,5120,PelhamPatch,178,1,178,Wed Jun 23 20:59:17 +0000 2010,0,36,158855780,False,694206543089143809
2745,23,"WHO Holds Emergency Meeting On Zika; U.S. President Obama, Brazil President Rousseff Discuss Outbreak; U.S. Se... https://t.co/t5QQFsb5nY",London,,2264,ICHLibGH,20,0,20,Wed Sep 07 13:02:47 +0000 2011,0,0,369489075,False,694206535430373376
2746,2114,RT @BlBrTravel: Do not have a #Zika Freaka(out). Here's how to deal with Zika fears and still #travel. https://t.co/5XQ1ZtSWAz https://t.co…,"Barcelona, Spain","The authority on #Barcelona's best spots, both secret & not-so-secret. And we offer private #tours. Check out our  tours and services at http://t.co/dYtBEgZveR.",51471,bcn_exp,2007,2777,2007,Tue Aug 04 14:31:15 +0000 2009,1,610,62831986,False,694206531508793344
2747,98,RT @sciam: Update: More than 40 cases of #Zika virus have been confirmed in the U.S. See our exclusive map to find out where: https://t.co/…,,Science.,92,wyorgb,191,111,191,Sat Sep 14 20:30:43 +0000 2013,50,31,1864899704,False,694206530900594688
2748,3090,As the ZIKA virus continues to spread we are highlighting the most seriously affected areas https://t.co/TiEal02udO,UK,"Traveleads is one of the UK’s leading TMCs – with specialist teams working in corporate, oil & gas, sport, TV/film travel and exclusive leisure travel",1331,TraveleadsUK,2999,66,2999,Tue Jan 11 14:31:30 +0000 2011,0,33,236852854,False,694206527301926913
2749,2023,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/xIfwfWdfzT,"Bronxville, NY ",Bronxville Patch is your source for local news.,7905,BronxvillePatch,208,13,208,Tue Apr 13 15:58:42 +0000 2010,0,54,132568319,False,694206514551136256
2750,1190,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/QgNOS7MjxZ,"Harrison, NY",Harrison Patch is your source for local news.,4063,HarrisonPatch,535,11,535,Tue Dec 01 14:50:24 +0000 2009,0,36,93873338,False,694206514194620416
