,Column1,Column2,Column3
142,@Klovn,@Klovn,Tweet
143,@MN_350,@ClimateReality,RT
144,@veena725,@WHO,RT
145,@iamyemiyezi,@iamyemiyezi,Tweet
146,@bjongrk,@CNN,RT
147,@marcioapviana,@CNN,RT
148,@PierreChrist_,@CNN,RT
149,@BizTravelUK,@TraveleadsUK,RT
150,@hakeem_mahak,@kashmir_rise,RT
151,@wyorgb,@scicurious,RT
152,@matatias,@CNN,RT
153,@YorktownPatch,@YorktownPatch,Tweet
154,@QueenofBasPays,@QueenofBasPays,Tweet
155,@NyackPatch,@NyackPatch,Tweet
156,@WrigleyRes,@WrigleyRes,Tweet
157,@predictech,@CDCgov,RT
158,@sthi1285,@sthi1285,Tweet
159,@ColumbiaMSPH,@cuepidemiology,RT
160,@tamys46,@STcom,RT
161,@BronxvillePatch,@BronxvillePatch,Tweet
162,@MujibG,@MujibG,Tweet
163,@BzSnow,@nytimes,RT
164,@RivertownsPatch,@RivertownsPatch,Tweet
165,@Simar512,@Simar512,Tweet
166,@MujibG,@MujibG,Tweet
167,@jcrestani,@nytimes,RT
168,@UVAResearchPark,@UVAResearchPark,Tweet
169,@UVAResearchPark,@UVAResearchPark,Tweet
170,@EmergencyBlog,@EmergencyBlog,Tweet
171,@DailyPublius,@DailyPublius,Tweet
172,@RealTimeHack,@RealTimeHack,Tweet
173,@lisabari,@lisabari,Tweet
174,@matatias,@CNN,RT
175,@wyorgb,@scicurious,RT
176,@NyackPatch,@NyackPatch,Tweet
177,@NewRoPatch,@NewRoPatch,Tweet
178,@iamyemiyezi,@iamyemiyezi,Tweet
179,@UwNoah,@UwNoah,Tweet
180,@PearlRiverPatch,@PearlRiverPatch,Tweet
181,@finance_sumlify,@CNN,RT
182,@3NovicesJapan,@3NovicesJapan,Tweet
183,@smurphy2001,@frontlinepbs,RT
184,@DailyPublius,@DailyPublius,Tweet
185,@CraigCo62,@CraigCo62,Tweet
186,@DrRobertGlatter,@bermaninstitute,RT
187,@DrRobertGlatter,@bermaninstitute,RT
188,@nov_amit,@CNN,RT
189,@WindsorDw,@onahunttoday,RT
190,@ScarsdalePatch,@ScarsdalePatch,Tweet
191,@instapundit,@jason_pontin,RT
192,@WrigleyRes,@WrigleyRes,Tweet
193,@bcn_exp,@BlBrTravel,RT
194,@NRInstitute,@UniGreenwich,RT
195,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
196,@DailyPublius,@DailyPublius,Tweet
197,@PearlRiverPatch,@PearlRiverPatch,Tweet
198,@LakersGold,@CNN,RT
199,@fractalbears,@fractalbears,Tweet
200,@Lajanz_cong,@Lajanz_cong,Tweet
201,@dlNewZealand,@dlNewZealand,Tweet
202,@iamyemiyezi,@iamyemiyezi,Tweet
203,@Klovn,@Klovn,Tweet
204,@PelhamPatch,@PelhamPatch,Tweet
205,@NewCityPatch,@NewCityPatch,Tweet
206,@fractalbears,@fractalbears,Tweet
207,@PearlRiverPatch,@PearlRiverPatch,Tweet
208,@francisdias2401,@CNN,RT
209,@instapundit,@jason_pontin,RT
210,@iamyemiyezi,@iamyemiyezi,Tweet
211,@finance_sumlify,@CNN,RT
212,@BAinDiplomacy,@BAinDiplomacy,Tweet
213,@bedkatonahpatch,@bedkatonahpatch,Tweet
214,@Simar512,@Simar512,Tweet
215,@TraveleadsUK,@TraveleadsUK,Tweet
216,@_Dirty_Water_,@_Dirty_Water_,Tweet
217,@MandolinJoy,@MandolinJoy,Tweet
218,@LarchmontPatch,@LarchmontPatch,Tweet
219,@CinderelaRS,@ClimateReality,RT
220,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
221,@RealTimeHack,@RealTimeHack,Tweet
222,@nov_amit,@CNN,RT
223,@RealTimeHack,@RealTimeHack,Tweet
224,@RivertownsPatch,@RivertownsPatch,Tweet
225,@dlNewZealand,@dlNewZealand,Tweet
226,@HillaryKenyon,@CNN,RT
227,@NyackPatch,@NyackPatch,Tweet
228,@Lajanz_cong,@Lajanz_cong,Tweet
229,@AhmedNumen,@ClimateReality,RT
230,@wyorgb,@scicurious,RT
231,@HVPatch,@HVPatch,Tweet
232,@iamyemiyezi,@iamyemiyezi,Tweet
233,@RainerKurlemann,@HelenBranswell,RT
234,@bedkatonahpatch,@bedkatonahpatch,Tweet
235,@bcn_exp,@BlBrTravel,RT
236,@BronxvillePatch,@BronxvillePatch,Tweet
237,@UVAResearchPark,@UVAResearchPark,Tweet
238,@RealTimeHack,@RealTimeHack,Tweet
239,@OccuWorld,@OccuWorld,Tweet
240,@OccuWorld,@OccuWorld,Tweet
241,@LakersGold,@CNN,RT
242,@ECDOH,@NSC44,RT
243,@BronxvillePatch,@BronxvillePatch,Tweet
244,@QueenofBasPays,@QueenofBasPays,Tweet
245,@PearlRiverPatch,@PearlRiverPatch,Tweet
246,@GinaInTheBurg,@AP,RT
247,@THilderley,@VIralBuzzNewss,RT
248,@bjongrk,@CNN,RT
249,@HillaryKenyon,@CNN,RT
250,@HarrisonPatch,@HarrisonPatch,Tweet
251,@FinalFenwayFict,@FinalFenwayFict,Tweet
252,@bonelam,@CNN,RT
